city_name,country,latitude,longitude,max_temperature,humidity,cloudiness,wind speed
Arrondissement de Nevers,FR,46.9167,3.3333,9.68,98,100,3.9
Ballina,AU,-28.8667,153.5667,23.1,72,99,5.58
Leer,SS,8.3018,30.1418,24.68,79,84,3.75
Kiama,AU,-34.6833,150.8667,22.22,92,100,2.24
Olafsvik,IS,64.8945,-23.7142,7.46,71,79,2.97
Atambua,ID,-9.1061,124.8925,27.48,52,87,0.5
Mogadishu,SO,2.0371,45.3438,28.07,74,69,4.12
Abu Dhabi,AE,24.4667,54.3667,26.09,68,0,0.51
Hlotse,LS,-28.8718,28.045,10.28,91,42,1.6
Londoko,RU,49.0333,131.9833,7.67,62,99,1.32
Ostrovnoy,RU,68.0531,39.5131,0.75,93,100,4.38
Kloulklubed,PW,7.0419,134.2556,27.28,76,66,4.78
Bhabhua,IN,25.05,83.6167,29.24,14,0,2.14
Khāsh,IR,28.2211,61.2158,19.15,31,0,0.91
Province of Mantua,IT,45.1667,10.7833,9.58,89,42,1.34
Ariogala,LT,55.2667,23.4667,5.64,97,100,1.96
Kärdla,EE,58.9978,22.7492,5.03,88,100,5.63
Dwārka,IN,22.2394,68.9678,27.08,74,0,4.98
Koumac,NC,-20.5667,164.2833,26.27,65,97,7.32
Svetlaya,RU,46.5389,138.3297,8.56,47,100,1.52
Havre-St-Pierre,CA,50.2334,-63.5986,3.17,78,100,6.8
Tomatlán,MX,19.9333,-105.25,24.68,62,0,2.47
Houma,US,29.5958,-90.7195,25.01,85,40,5.14
Quatre Cocos,MU,-20.2078,57.7625,23.94,72,27,7.32
Lanigan,CA,51.8501,-105.0344,1.72,64,69,5.71
Srednekolymsk,RU,67.45,153.6833,-6.01,85,100,7.56
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,6.33,53,75,9.0
Lusambo,CD,-4.9667,23.45,20.46,98,100,0.25
Port Moresby,PG,-9.4431,147.1797,28.8,67,81,1.84
Porto-Novo,BJ,6.4965,2.6036,26.61,80,100,2.54
Tabou,CI,4.423,-7.3528,26.77,86,100,1.46
Nioro,GM,13.35,-15.75,28.91,27,1,2.37
Mayumba,GA,-3.432,10.6554,25.24,91,100,1.22
Tripoli,LY,32.8752,13.1875,18.88,54,100,5.34
Pālampur,IN,32.1167,76.5333,18.08,34,33,3.57
Kuching,MY,1.55,110.3333,26.12,94,20,1.54
Monrovia,LR,6.3005,-10.7969,24.73,89,100,2.89
Canavieiras,BR,-15.675,-38.9472,24.81,87,11,2.48
Taoudenni,ML,22.6783,-3.9836,25.18,26,0,5.38
Zaysan,KZ,47.4667,84.8667,2.28,39,100,0.75
Belmonte,BR,-15.8631,-38.8828,25.57,85,53,3.64
Young,UY,-32.6833,-57.6333,18.93,84,60,6.11
Huarmey,PE,-10.0681,-78.1522,20.35,85,74,3.55
Zomba,MW,-15.386,35.3188,16.8,96,14,0.94
Bratsk,RU,56.1325,101.6142,-4.25,72,51,3.46
Kingaroy,AU,-26.5333,151.8333,18.02,100,100,5.14
Prudentópolis,BR,-25.2131,-50.9778,18.11,90,91,0.59
Plácido de Castro,BR,-10.3353,-67.1856,23.59,98,91,1.18
Najrān,SA,17.4924,44.1277,22.04,46,16,1.72
Nicoya,CR,10.1483,-85.452,27.17,74,68,0.76
Sompeta,IN,18.9333,84.6,30.01,62,0,2.83
Eidfjord,NO,60.4675,7.0719,3.07,87,98,1.35
Hūn,LY,29.1268,15.9477,18.14,38,16,2.69
Lavrentiya,RU,65.5833,-171.0,-2.3,76,51,1.93
Naze,JP,28.3667,129.4833,23.45,82,2,2.92
Pedernales,DO,18.0384,-71.744,25.93,70,35,2.02
Jasper,US,37.2001,-94.3502,13.34,93,100,1.54
Fallon,US,39.4735,-118.7774,18.93,11,40,2.57
Grindavik,IS,63.8424,-22.4338,6.26,93,100,5.14
Sulphur,US,30.2366,-93.3774,24.98,85,100,7.2
Christchurch,NZ,-43.5333,172.6333,20.79,59,0,2.06
Linqu,CN,36.5156,118.5397,23.31,63,100,3.23
Borskoye,RU,53.0333,51.7167,10.76,74,100,2.02
Rehoboth,NA,-23.3167,17.0833,12.2,38,0,2.96
Broome,US,42.2506,-75.833,22.43,45,20,4.12
Ashdod,IL,31.8167,34.65,18.45,87,52,0.85
Solnechnyy,RU,50.7214,136.6319,0.19,90,100,1.32
Bela,IN,25.9333,81.9833,29.07,15,0,2.21
Kolokani,ML,13.5728,-8.0339,28.63,15,98,4.55
Coquimbo,CL,-29.9533,-71.3436,13.85,94,100,0.51
Motygino,RU,58.1831,94.7592,-1.05,89,98,3.54
Kenai,US,60.5544,-151.2583,11.68,51,100,5.66
Sol'-Iletsk,RU,51.1631,54.9918,7.66,67,15,2.82
Nador,MA,35.174,-2.9287,14.14,82,0,1.03
Tautira,PF,-17.7333,-149.15,27.11,70,19,3.26
Santo Antônio do Içá,BR,-3.1022,-67.9397,24.21,94,77,1.27
Vung Tau,VN,10.346,107.0843,28.68,77,69,5.47
Plover,US,44.4564,-89.544,11.47,53,100,9.26
Ngunguru,NZ,-35.6167,174.5,17.93,72,100,4.49
Tateyama,JP,34.9833,139.8667,19.37,75,11,0.69
Port Blair,IN,11.6667,92.75,28.67,65,82,1.22
Tifton,US,31.4505,-83.5085,22.16,73,75,0.0
Sarakhs,IR,36.5449,61.1577,20.44,51,95,1.64
Veere,NL,51.5483,3.6667,9.99,85,0,5.66
Teacapan,MX,22.55,-105.75,23.91,72,0,3.44
Kostanay,KZ,53.1667,63.5833,-0.84,64,35,2.0
Yerbogachën,RU,61.2767,108.0108,-1.4,74,100,3.51
Poyarkovo,RU,49.6,128.6833,8.95,46,63,3.13
Mazamari,PE,-11.3258,-74.5308,22.68,92,100,0.76
Ust'-Kulom,RU,61.6864,53.6902,-2.34,99,48,1.33
Sokoni,TZ,-6.4333,39.55,26.92,81,100,2.43
Belyy Yar,RU,53.6039,91.3903,-1.19,64,11,0.0
Ambon City,ID,-3.6954,128.1814,34.08,59,40,2.06
Chicama,PE,-7.8447,-79.1469,15.3,80,88,2.77
Ugoofaaru,MV,5.6667,73.0,29.04,70,100,2.07
Viedma,AR,-40.8135,-62.9967,19.96,45,95,10.95
Hasaki,JP,35.7333,140.8333,22.94,73,63,1.63
Malpe,IN,13.35,74.7167,27.61,84,88,1.45
Dafeng,CN,23.4517,108.5881,26.69,81,29,4.58
Jumla,NP,29.2747,82.1838,11.47,34,0,1.76
Yatou,CN,37.15,122.3833,15.01,81,100,4.65
Vârciorog,RO,46.9667,22.3,11.41,89,100,1.77
Praia,CV,14.9215,-23.5087,24.3,46,0,6.69
Dongning,CN,44.0622,131.1207,17.87,28,5,2.74
Panabá,MX,21.2833,-88.2667,26.73,64,0,6.88
Świnoujście,PL,53.9105,14.2471,5.1,88,100,8.63
Bolobo,CD,-2.1667,16.2333,21.99,93,99,1.19
Nchelenge,ZM,-9.3451,28.734,20.65,90,100,0.52
Dingle,PH,10.9995,122.6711,29.23,74,94,4.92
Grong,NO,64.4654,12.3149,3.23,96,100,1.44
Wāliṅ,NP,27.9833,83.7667,22.63,27,0,1.92
Mashhad,IR,36.297,59.6062,14.08,88,0,2.06
Eirunepé,BR,-6.6603,-69.8736,24.49,91,80,0.45
Kassel,DE,51.3167,9.5,9.06,93,100,1.51
Muisne,EC,0.6,-80.0333,25.4,82,100,2.85
Pozoblanco,ES,38.3791,-4.8483,6.89,77,13,0.67
Alaşehir,TR,38.3508,28.5172,15.53,53,62,1.39
Liangxiang,CN,39.7319,116.14,19.91,48,100,2.03
Nagayo,JP,32.8242,129.8861,17.64,100,75,2.57
Puerto Colombia,CO,10.9878,-74.9547,28.05,81,20,9.81
