city_name,country,latitude,longitude,max_temperature,humidity,cloudiness,wind speed
Havelock,US,34.8791,-76.9013,21.08,84,0,3.09
Katsina,NG,12.9894,7.6006,29.54,38,8,5.3
Kropotkin,RU,45.4375,40.5756,10.02,73,5,2.43
Itaqui,BR,-29.1253,-56.5531,22.44,93,98,5.5
Cherskiy,RU,68.75,161.3,-5.06,80,100,3.24
Kargil,IN,34.5667,76.1,1.69,51,92,1.21
Mount Gambier,AU,-37.8333,140.7667,18.36,48,100,1.95
Uyuni,BO,-20.4597,-66.825,7.01,19,6,5.83
Kununurra,AU,-15.7667,128.7333,29.99,42,70,3.09
Murighiol,RO,45.0333,29.1667,10.27,81,98,2.92
Faya,SA,18.3851,42.4509,15.29,51,6,0.49
Sabang,ID,5.8933,95.3214,28.47,75,100,2.14
Provideniya,RU,64.3833,-173.3,2.06,64,0,2.0
Port Macquarie,AU,-31.4333,152.9167,21.05,57,99,2.79
Rome,US,43.2128,-75.4557,18.79,42,0,5.14
Yangi Marg`ilon,UZ,40.4272,71.7189,14.4,88,100,2.06
Kahului,US,20.8947,-156.47,28.01,66,75,9.77
Lebedinyy,RU,58.5167,125.5167,-2.25,71,99,2.28
Guerrero Negro,MX,27.9769,-114.0611,20.59,49,0,8.06
Río Cuarto,AR,-33.1307,-64.3499,20.73,71,0,5.65
Ribeira Grande,PT,38.5167,-28.7,14.94,75,16,6.3
Ketchikan,US,55.3422,-131.6461,7.99,87,100,2.57
Mayo,US,38.8876,-76.5119,18.48,71,0,5.14
Auki,SB,-8.7676,160.7034,30.82,60,72,0.94
Vanavara,RU,60.34,102.2797,-1.07,75,100,2.36
Vicuña,CL,-30.0319,-70.7081,17.09,60,0,0.46
Kalianget,ID,-7.05,113.9333,29.02,74,22,3.34
San Patricio,US,28.017,-97.5169,26.61,86,9,7.18
Lebu,CL,-37.6167,-73.65,10.77,77,7,2.73
Ngaoundéré,CM,7.3167,13.5833,19.05,89,99,1.89
Mahrīz,IR,31.5917,54.4318,19.28,19,6,1.62
Point Pleasant,US,40.0832,-74.0682,9.97,70,0,3.09
Narsaq,GL,60.9167,-46.05,5.12,89,100,1.2
Andover,GB,51.2083,-1.4825,7.6,95,2,4.85
Avera,US,33.194,-82.5271,20.86,66,84,2.67
Mar del Plata,AR,-38.0023,-57.5575,18.26,70,53,6.26
Knysna,ZA,-34.0363,23.0471,13.09,92,100,2.67
Porto Walter,BR,-8.2686,-72.7439,23.38,94,100,0.8
Bambous Virieux,MU,-20.3428,57.7575,24.01,72,14,7.37
Esperance,AU,-33.8667,121.9,17.86,68,67,4.38
Assiut,EG,27.181,31.1837,22.09,26,0,3.48
Langfang,CN,39.5097,116.6947,19.36,59,100,2.81
Irbeyskoye,RU,55.6428,95.4522,-0.65,69,98,5.35
Buala,SB,-8.145,159.5921,29.82,69,86,3.03
Oxapampa,PE,-10.5775,-75.4017,16.04,97,100,0.88
Tabas,IR,33.5959,56.9244,23.86,26,90,1.57
Pevek,RU,69.7008,170.3133,-10.44,89,86,0.62
Karratha,AU,-20.7377,116.8463,28.21,40,100,1.41
Palmer,US,42.1584,-72.3287,10.8,57,40,3.6
Fortuna,US,40.5982,-124.1573,15.52,72,0,5.66
Praia da Vitória,PT,38.7333,-27.0667,13.75,80,13,8.1
Eyl,SO,7.9803,49.8164,26.85,76,74,3.41
Hermanus,ZA,-34.4187,19.2345,14.88,72,96,1.59
Inhambane,MZ,-23.865,35.3833,23.5,87,0,1.81
Øksfjord,NO,70.2396,22.3479,1.11,99,100,0.93
Laval,CA,45.57,-73.692,10.57,55,100,4.47
Along,IN,28.1667,94.7667,18.98,94,98,1.07
Saint George,US,37.1041,-113.5841,22.02,12,0,7.2
Prado,BR,-17.3411,-39.2208,25.55,89,0,3.04
Xuzhou,CN,34.1805,117.1571,18.08,95,100,3.89
Vardø,NO,70.3705,31.1107,1.6,87,100,2.33
Tura,IN,25.5198,90.2201,24.64,87,41,2.83
Zykovo,RU,55.9519,93.1461,0.55,64,26,3.53
Muhafazat Lahij,YE,13.1667,44.5833,23.74,72,67,1.8
Praia,CV,14.9215,-23.5087,24.3,46,0,6.69
Maragogi,BR,-9.0122,-35.2225,25.72,83,23,4.43
Chapais,CA,49.7834,-74.8492,2.69,84,100,5.76
Derzhavīnsk,KZ,51.1,66.3167,1.7,58,9,3.66
Taltal,CL,-25.4,-70.4833,17.65,80,0,2.34
Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,25.86,24,0,5.12
Faanui,PF,-16.4833,-151.75,27.41,72,29,3.22
Mahébourg,MU,-20.4081,57.7,24.03,72,13,7.43
Tongliao,CN,43.6125,122.2653,19.55,42,6,9.6
Iskateley,RU,67.6803,53.1512,-4.05,97,100,3.79
Longyearbyen,SJ,78.2186,15.6401,-13.09,61,75,5.14
Lüderitz,NA,-26.6481,15.1594,12.57,62,0,7.15
Lagoa,PT,39.05,-27.9833,14.33,74,0,8.36
